Project Name,Type,Sector,Sub-Sector,Location,Project Authority,Status,Total Project Cost (in Rs Crore),Date Of Award
Darlipali Coal Based Power Project - Stage I,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Odisha,NTPC Limited,Completed,"1,032.01",17-Feb-2014
Daund-Bhigwan DL Railway Line,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Maharashtra,Central Railway,Completed,50.00,Not Available
Dausa-Bandikui GC Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Rajasthan,North Western Railway,Under Construction,85.00,Not Available
Dausa-Gangapur City BG Railway Line,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Rajasthan,North Western Railway,Under Construction,410.00,Not Available
Dayabasti Grade Separator Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Delhi (UT),Northern Railway,Under Construction,157.00,Not Available
Deepening and Widening of Mumbai Harbour Channel and JN Port Channel (Phase-I),Government Infrastructure Projects (Traditional Procurement),Transport,Ports (excluding captive),Maharashtra,Jawaharlal Nehru Port Trust,Completed,"1,370.65",01-Aug-2012
Dehri On Sone-Banjari Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Bihar,East Central Railway,Under Construction,106.00,Not Available
Delang-Puri DL Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Odisha,East Central Railway,Under Construction,165.00,Not Available
Delhi CNG Pipeline Project,Government Infrastructure Projects (Traditional Procurement),Energy,Gas pipelines,Delhi (UT),Indraprastha Gas Limited,Completed,328.00,Not Available
Delhi-Ambala Cantt-Ludhiana Railway Electrification,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Multi State/ Centre,Northern Railway,Completed,296.40,Not Available
Delhi-Delhi Shahdara-New Delhi Yamuna Railway Bridge,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Delhi (UT),Northern Railway,Under Construction,80.00,Not Available
Delhi-Noida Toll Bridge,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Delhi (UT),New Okhla Industrial Development Authority (NOIDA),Operation and Maintenance Stage,408.20,12-Nov-1997
Delhi-Rewari GC Railway Line,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Multi State/ Centre,Rail Vikas Nigam Limited,Under Construction,148.89,Not Available
Deoband-Roorkee Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Multi State/ Centre,Eastern Railway,Under Construction,168.00,Not Available
Deoghar-Banka-Barahat-Sultanganj BG Railway Line,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Multi State/ Centre,Eastern Railway,Under Construction,607.00,Not Available
Deoghar-Dumka Railway Line,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Jharkhand,Eastern Railway,Completed,60.24,Not Available
Deshpran-Nandigram Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",West Bengal,South Eastern Railway,Completed,121.00,Not Available
Design Construction Finance Operation and Maintenance of  Four Laning of Khammam Tallada Devarapalli Road under PPP,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Andhra Pradesh,Andhra Pradesh Road Development Corporation,Not Available,660.00,Not Available
Design Construction Finance Operation and Maintenance of  Four Laning of Perecherla  Thokapalli Road under PPP,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Andhra Pradesh,Andhra Pradesh Road Development Corporation,Not Available,522.00,Not Available
Design Construction Finance Operation and Maintenance of  Four Laning of Warangal Khammam Road under PPP,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Andhra Pradesh,Andhra Pradesh Road Development Corporation,Not Available,476.00,Not Available
Development of Bypass Roads for Sandur Town Bellary district Under Direct Tolling System,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Operation and Maintenance Stage,40.00,Not Available
Development of CBD in South TT Nagar Bhopal,Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,"Common infrastructure for industrial parks, SEZ",Madhya Pradesh,Madhya Pradesh Housing Board,Not Available,"1,500.00",17-Apr-2008
Development of Coal Berth No.3 for TANGEDCO,Government Infrastructure Projects (Traditional Procurement),Transport,Ports (excluding captive),Tamil Nadu,Kamarajar Port Limited,Under Construction,198.95,30-Dec-2013
Development of existing 4-lane road from Bangalore to Hunsur via Mysore and other Connecting roads into 6-lane roads,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,621.46,Not Available
Development of Hoshiarpur - Phagwara Road Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Punjab,"Public Works Department, Punjab",Under Construction,32.53,03-Mar-2006
"Development of Industrial Park, Gurgaon",Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,"Common infrastructure for industrial parks, SEZ",Haryana,Haryana Urban Development Authority,Operation and Maintenance Stage,60.00,Not Available
Development of Integrated Multilevel Parking Infrastructure at 3 sites in NDMC Area,Government Infrastructure Projects (PPP),Transport,Urban public transport (except rolling stock),Delhi (UT),New Delhi Municipal Council,Under Construction,8.00,01-Jan-2006
Development of International Convention Centre at Devanahalli,Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Tourism,Karnataka,"Department of Tourism, Karnataka",Under Construction,"1,050.00",01-Feb-2009
Development of road from Afzalpur-Ghattarga Sarasamba with Ribbanapalli and other connecting roads,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,530.09,Not Available
Development of road from Annigere-Navalgund-Datnal-Ron and other connecting roads,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,505.65,Not Available
Development of road from AP border near Kothadoddi-Yaragara-Purthipalli to join SH-23 near Kapgal and other connecting roads,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,488.60,Not Available
Development of road from Arsikere-Gandasi-Channarayapatna - Kikkeri - K R Pet - Chinakurali-Pandavapur SH-07 and other connectin,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,334.62,Not Available
Development of road from Badravathi-Shimoga-Honalli-Shikaripura SH-57 and other connecting roads,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,653.17,Not Available
Development of road from Bangalore-Magadi-Huliyuru Durga and other connecting roads,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,732.92,Not Available
Development of road from Bidar to Humnabad SH-105 and other connecting roads,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,235.59,Not Available
Development of road from Channagiri-Davanagere-Jaglur SH-65 and other connecting road SH-45,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,320.34,Not Available
Development of road from Chikkaballapur NH-7 Vijipur-Vemagal-Kolar-Nandi cross and other connecting roads,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,319.64,Not Available
Development of road from Chikkaballapura-Nandi-Doddaballapur-Maduray-Nelamangala-Taverekere-Kengeri-Kanakapura road - Jigani-Ane,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,406.13,Not Available
Development of road from Devangaon bridge-Afzalpur-Gulbarga and other connecting roads,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,514.60,Not Available
Development of road from Devangaon-Vibuthihal-Indi-Atharga-Bijapur SH-34 and other connecting roads,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,302.51,Not Available
Development of road from Gangavathi -NH-63 at Koppal-Mundargi and other connecting roads,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,735.97,Not Available
Development of road from Gangavathi-Karatgi-Sindanoor-Kalmali joining SH-20 SH-23 and other connecting roads,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,480.58,Not Available
Development of road from Gorabal on SH-23-Dhadesugur-Desanur-Sindegeri-Bellary and other connecting roads,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,697.46,Not Available
Development of road from Haveri-Hirekeruru-Thalagundi-Soraba-Sagar road and other connecting road,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,387.11,Not Available
Development of road from Hoskote-Mallur-Tekal-Bangarpet-Baythmangal-AP Border SH-95 and connecting roads,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,585.33,Not Available
Development of road from Huliyur-Tiptur-Nuggenahalli-Shravanabelagola road SH-47 and other connecting roads,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,227.89,Not Available
Development of road from Hunsur-Verajpet  Madakeri-Somavarpet road and other connecting roads,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,572.10,Not Available
Development of road from Kadur-Chikkamangalur-Mudigere-Belthangadi-Bantwal road SH-64,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,338.13,Not Available
Development of road from Kushalnagara-Madikere-Sampaji-Sulya-Puttur joining NH-48 SH-88 and other connecting roads,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,365.09,Not Available
Development of road from Lokapur to Mudhol SH-34 Mudhol-Sidapur-Kanakawadi-Nipani SH-18 and other connecting roads,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,380.22,Not Available
Development of road from Lokapura-Halki-Mallapur to join NH-4 near Gotur and other connecting roads,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Not Available,340.55,Not Available
